,add-bookmark.txt,add-delete-ptoolbar-bookmark.txt,copy-paste-items.txt,create-bookmark.txt,create-delete-separator.txt,create-folder.txt,custom-keywords.txt,cut-undo-redo-items.txt,delete-bookmark.txt,delete-folder.txt,delete-multiple-bookmarks.txt,edit-properties.txt,file-bookmark.txt,paste-into-folder.txt,rename-bookmark.txt,reorder-hierarchy.txt,reorder-item.txt,resize-columns.txt,save-state.txt,self-drop.txt,show-hide-columns.txt,show-hide-folder.txt,sort-columns.txt,surf-all-bookmarks.txt,surf-bookmark.txt,view-bookmarks.txt,view-properties.txt
add-bookmark.txt,0.0,0.05135540952797801,0.07477288276936078,0.0573870524950465,0.05895334535985086,0.07617809280721333,0.05422908028041107,0.05962043549777596,0.012353720129877899,0.08909745138255798,0.039780218868706196,0.1017463694092291,0.048001727825899176,0.10079455815562965,0.06401127335554169,0.06716436432822381,0.06403972652508383,0.09285419801430084,0.06645837048310699,0.0810108113359953,0.09311558641359663,0.11646083893311288,0.14578975349880563,0.06542742708065974,0.0483875993852686,0.04484011178793901,0.07994839654589347
add-delete-ptoolbar-bookmark.txt,0.05135540952797801,0.0,0.056653603177316714,0.04055161469079427,0.028011530589306832,0.038527978149158315,0.04794602356091682,0.040678884070761256,0.05081966090912593,0.05384111663482183,0.03244488334874207,0.0842706458370317,0.025379074150008063,0.0674538890204398,0.043362655852680065,0.035345471180245,0.03667770045189789,0.05896957283828319,0.02889103242240676,0.04963721207102301,0.07056497055206579,0.0678235882353706,0.14790508845286565,0.03248604738640182,0.04006627078719449,0.0200264289925578,0.061577439500355435
copy-paste-items.txt,0.07477288276936078,0.056653603177316714,0.0,0.022336271759881732,0.028574672047234073,0.027724581816591987,0.04812945948160219,0.020875061394796335,0.06096440512410051,0.04447550001692435,0.026589970943837193,0.060848009407495574,0.030738016719610628,0.017035532654643082,0.019603993282570453,0.034579926645918135,0.026945213803319712,0.027897848950621973,0.04017011570964191,0.07993014604454951,0.029147131253471015,0.04241375625433286,0.13823596423432805,0.05509090250350135,0.04767262458916288,0.03705979934293524,0.020327861817430848
create-bookmark.txt,0.0573870524950465,0.04055161469079427,0.022336271759881732,0.0,0.018913021829275456,0.029439396045440436,0.05540913314931384,0.014541176371631437,0.044882692488396825,0.04142700046477488,0.021267719815835195,0.06340507210466617,0.0180035826749122,0.03291482427644088,0.015657839818064345,0.015866580466448177,0.01766671450174595,0.03833133697490354,0.018842551708059596,0.05267587824319142,0.03877189065301656,0.04633623178456614,0.1501533358689433,0.035019042760490615,0.044105240810571766,0.030635630307754735,0.03378604214141678
create-delete-separator.txt,0.05895334535985086,0.028011530589306832,0.028574672047234073,0.018913021829275456,0.0,0.026702948577397412,0.05116649525582839,0.013601298033761977,0.04326619928857123,0.02613155282453017,0.02045012555786596,0.0716635499325401,0.013974355856380627,0.04092801666463397,0.024862171295371716,0.019544590017096186,0.019593053425504325,0.035138831874569454,0.026803858298528715,0.04816444096918715,0.03446462289896024,0.03983562837374377,0.13826301957569054,0.03467822790680575,0.041743832416477056,0.02731960185794391,0.035464225957899
create-folder.txt,0.07617809280721333,0.038527978149158315,0.027724581816591987,0.029439396045440436,0.026702948577397412,0.0,0.040415292308910056,0.029140279200182473,0.05345294353994423,0.02290769006364224,0.023163521050308167,0.05012026521829516,0.029982662814930228,0.027181786104346295,0.02487066265621607,0.03148665492836622,0.024436624392259132,0.041576997747338806,0.031968539582067024,0.04716050149351447,0.04008427546993276,0.03712075367496814,0.14802179456828457,0.047033317845418754,0.036208943892107825,0.021952226868174662,0.0214364342086224
custom-keywords.txt,0.05422908028041107,0.04794602356091682,0.04812945948160219,0.05540913314931384,0.05116649525582839,0.040415292308910056,0.0,0.048202188789976286,0.04272452632189905,0.05495481383191114,0.030572314735092476,0.03461904859093401,0.05265459476653589,0.07296196933162369,0.0353999018044,0.06360478781633139,0.049613660359050016,0.0540148759252278,0.05589647601231784,0.06811409553943504,0.07057835284228009,0.08658065877761956,0.1341367813909824,0.06596107708712429,0.020588975012910904,0.039122249788223984,0.03225633923814786
cut-undo-redo-items.txt,0.05962043549777596,0.040678884070761256,0.020875061394796335,0.014541176371631437,0.013601298033761977,0.029140279200182473,0.048202188789976286,0.0,0.04565564963976687,0.03230521764165739,0.016234834238363027,0.06002515392771057,0.020207391416087184,0.03230466866515069,0.015076079043846446,0.023538804497666876,0.022119808898520166,0.03573769189248166,0.0267345107649426,0.0505774874180569,0.02960689486022061,0.04922336269036376,0.15832901399929422,0.032830476268526754,0.04051027334649504,0.03179231442306818,0.026727435182948733
delete-bookmark.txt,0.012353720129877899,0.05081966090912593,0.06096440512410051,0.044882692488396825,0.04326619928857123,0.05345294353994423,0.04272452632189905,0.04565564963976687,0.0,0.05743823100977019,0.024728995857527858,0.06925414483144221,0.04241035206668575,0.08578025897739872,0.05098721663196082,0.05655623231430573,0.05242783950574603,0.08288192877286515,0.060036610122319756,0.06583272510679661,0.07457634291347748,0.09726101236260709,0.13446754632458313,0.06968047310265535,0.03272651266508986,0.03569684429260167,0.05372378094538399
delete-folder.txt,0.08909745138255798,0.05384111663482183,0.04447550001692435,0.04142700046477488,0.02613155282453017,0.02290769006364224,0.05495481383191114,0.03230521764165739,0.05743823100977019,0.0,0.03369556208685809,0.051823859317615684,0.03690998206230134,0.03991502407481451,0.030649029682277118,0.03651463579786529,0.03411272926816833,0.052313635278121606,0.04728010052211484,0.0380355901106213,0.03893511765445645,0.0336962527932082,0.14498500402599246,0.07182515410097046,0.050174302572750795,0.04150003751061926,0.03296464195569615
delete-multiple-bookmarks.txt,0.039780218868706196,0.03244488334874207,0.026589970943837193,0.021267719815835195,0.02045012555786596,0.023163521050308167,0.030572314735092476,0.016234834238363027,0.024728995857527858,0.03369556208685809,0.0,0.04224237330976899,0.02531555283765463,0.045281935152414965,0.02035592070620551,0.03200243284892834,0.02721683178533163,0.04958106657484984,0.0295797572859543,0.05280208318679447,0.044680538613442455,0.06194808788021744,0.14004829645056427,0.04209272080627402,0.01675784322135343,0.019419881362906177,0.02527397307526802
