Version,Minutes,Seconds
Gson10,0,0.756
Gson11,0,0.775
Gson12,0,0.814
Gson13,0,0.831
Gson14,0,0.790
Gson15,0,0.799
Gson16,0,0.796
Gson17,0,0.802
Gson18,0,0.774
Gson1,0,0.611
Gson2,0,0.783
Gson3,0,0.771
Gson4,0,0.766
Gson5,0,0.729
Gson6,0,0.817
Gson7,0,0.886
Gson8,0,0.840
Gson9,0,0.989
