Version,TotalSeconds
Gson10,29.345
Gson11,29.969
Gson12,30.013
Gson13,29.889
Gson14,29.858
Gson15,29.778
Gson16,29.780
Gson17,30.988
Gson18,31.506
Gson1,24.359
Gson2,28.967
Gson3,29.297
Gson4,29.264
Gson5,29.106
Gson6,29.216
Gson7,29.134
Gson8,29.100
Gson9,29.094
