Version,Minutes,Seconds
JxPath10,0,0.400
JxPath11,0,0.375
JxPath12,0,0.429
JxPath13,0,0.383
JxPath14,0,0.394
JxPath15,0,0.458
JxPath16,0,0.409
JxPath17,0,0.423
JxPath18,0,0.423
JxPath19,0,0.422
JxPath1,0,0.366
JxPath20,0,0.393
JxPath21,0,0.409
JxPath22,0,0.382
JxPath2,0,0.334
JxPath3,0,0.346
JxPath4,0,0.347
JxPath5,0,0.348
JxPath6,0,0.379
JxPath7,0,0.366
JxPath8,0,0.368
JxPath9,0,0.370
