Version,TotalSeconds
Codec10,51.445
Codec11,60.191
Codec12,65.544
Codec13,95.533
Codec14,96.122
Codec15,112.274
Codec16,113.369
Codec17,134.710
Codec18,135.491
Codec1,31.590
Codec2,35.984
Codec3,46.611
Codec4,48.369
Codec5,49.102
Codec6,48.945
Codec7,52.309
Codec8,49.554
Codec9,56.062
