Version,Minutes,Seconds
Codec10,0,0.393
Codec11,0,0.463
Codec12,0,0.576
Codec13,0,0.671
Codec14,0,0.673
Codec15,0,0.757
Codec16,0,0.747
Codec17,0,0.840
Codec18,0,0.775
Codec1,0,0.281
Codec2,0,0.337
Codec3,0,0.446
Codec4,0,0.433
Codec5,0,0.344
Codec6,0,0.395
Codec7,0,0.362
Codec8,0,0.399
Codec9,0,0.572
